Clé Flora;Date du document;Nombre de fichier sauvegardé;Titre;Type document;Juridiction;Entité Productrice
395038;05/01/2017;1;L'Union nationale des associations familiales (UNAF) et le réseau des Unions départementales (UDAF);Référé;COUR DES COMPTES;Sixième Chambre
395048;23/12/2016;1;Les instituts d’études politiques (IEP) en région;Référé;COUR DES COMPTES;Troisième Chambre
395049;23/12/2016;1;La gestion et le financement de l'aide juridictionnelle et des autres interventions de l'avocat;Référé;COUR DES COMPTES;Quatrième Chambre
395050;23/12/2016;1;La mise en oeuvre du droit au logement opposable (DALO);Référé;COUR DES COMPTES;Cinquième Chambre
395052;23/12/2016;1;Le dispositif de remplacement des enseignants des premier et second degrés;Référé;COUR DES COMPTES;Troisième Chambre
399009;23/12/2016;0;Les dépenses de fonctionnement de l'établissement public Caisse des dépôts et consignations (CDC);Référé;COUR DES COMPTES;Première Chambre
395047;19/12/2016;1;Le programme SIRHEN (système d'information et de gestion des ressources humaines du ministère de l'éducation nationale, de l'enseignement supérieur et de la recherche);Référé;COUR DES COMPTES;Troisième Chambre
394691;12/12/2016;1;Le fonds d'épargne - Exercices 2012 à 2015;Référé;COUR DES COMPTES;Première Chambre
395792;05/12/2016;0;Le Fonds de prévention des risques naturels majeurs (FPRNM);Référé;COUR DES COMPTES;Septième Chambre
396018;21/11/2016;1;L'administration centrale du ministère des outre-mer - Exercices 2011 à 2015;Référé;COUR DES COMPTES;Quatrième Chambre
398159;21/11/2016;0;La gestion des ressources humaines du ministère des affaires étrangères et du développement international (MAEDI);Référé;COUR DES COMPTES;Quatrième Chambre
393494;24/10/2016;1;L'organisation des élections pour les Français établis hors de France;Référé;COUR DES COMPTES;Quatrième Chambre
393081;11/10/2016;1;Le régime fiscal et social des indemnités de licenciement et de rupture conventionnelle du contrat de travail;Référé;COUR DES COMPTES;Cinquième Chambre
392964;05/10/2016;1;Établissement de communication et de production audiovisuelle de la défense (ECPAD) - Dangerosité de certains supports de films archivés;Référé;COUR DES COMPTES;Deuxième Chambre
392438;14/09/2016;1;Le taux réduit de la taxe sur la valeur ajoutée (TVA) sur les travaux d'entretien et d'amélioration des logements de plus de deux ans;Référé;COUR DES COMPTES;Cinquième Chambre
393669;01/09/2016;0;Centre national des sports de la défense (CNSD) à Fontainebleau;Référé;COUR DES COMPTES;Deuxième Chambre
391574;28/07/2016;1;Fonds de coopération de la jeunesse et de l'éducation populaire (FONJEP);Référé;COUR DES COMPTES;Troisième Chambre
393159;04/07/2016;1;La politique des pôles de compétitivité;Référé;COUR DES COMPTES;Deuxième Chambre
392090;29/06/2016;0;L'Agence de gestion et de recouvrement des avoirs saisis et confisqués (AGRASC);Référé;COUR DES COMPTES;Quatrième Chambre
392264;21/06/2016;0;La gestion de l'impôt et les régimes fiscaux dérogatoires en Corse;Référé;COUR DES COMPTES;Première Chambre
392064;10/06/2016;1;L'Agence de financement des infrastructures de transport de France (AFITF);Référé;COUR DES COMPTES;Septième Chambre
390122;04/05/2016;1;Le logement des douaniers par la « Masse des douanes »;Référé;COUR DES COMPTES;Première Chambre
389901;28/04/2016;1;La contribution de la France au programme Copernicus;Référé;COUR DES COMPTES;Deuxième Chambre
389772;20/04/2016;0;Le déploiement du système d'information des ressources humaines des ministères économiques et financiers (SIRHIUS);Référé;COUR DES COMPTES;Première Chambre
389794;14/04/2016;1;La gestion des logements de fonction du ministère de l'intérieur;Référé;COUR DES COMPTES;Quatrième Chambre
389269;22/03/2016;1;La prise en charge et le suivi, par l'administration pénitentiaire, des majeurs condamnés;Référé;COUR DES COMPTES;Quatrième Chambre
389290;22/03/2016;1;La politique régionale en matière d'espaces verts, de forêts et de promenades en Île-de-France;Référé;COUR DES COMPTES;CRC ÎLE-DE-FRANCE
389957;26/02/2016;1;Les caisses de congés du bâtiment et des travaux publics (BTP);Référé;COUR DES COMPTES;Cinquième Chambre
390077;25/02/2016;1;La modernisation du réseau La Poste;Référé;COUR DES COMPTES;Première Chambre
388692;19/02/2016;1;L'action de l'État pour le développement des transports intelligents;Référé;COUR DES COMPTES;Septième Chambre
388634;18/02/2016;1;Les interceptions judiciaires et la Plateforme nationale des interceptions judiciaires (PNIJ);Référé;COUR DES COMPTES;Quatrième Chambre
388355;03/02/2016;1;Projet de gestion des aéronefs retirés du service de l'Etat;Référé;COUR DES COMPTES;Deuxième Chambre
389063;05/01/2016;1;L'insertion professionnelle des jeunes docteurs;Référé;COUR DES COMPTES;Troisième Chambre
